Sample,Drainage,Tributary,Ba (ug/L),Ba (mg/L),Ca (mg/L),Sr (ug/L),Sr (mg/L),Mg (mg/L),Mn (ug/L),Mn (mg/L),Ba/Ca,Sr/Ca,Mn/Ca,Mg/Ca
1,Big Hole,Willow Creek,21.69,0.021685,14.29,102.38,0.102375,1.83,17.5,0.017503,0.001518026,0.007166608,0.001225271,0.127826391
2,Big Hole,Rock Creek,24.95,0.024945,33.21,153.59,0.153587,3.59,16.78,0.016778,0.000751061,0.004624304,0.000505164,0.108150423
3,Big Hole,Cherry Creek,36.51,0.036513,46.48,159.61,0.159611,5.21,3.35,0.003349,0.000785496,0.003433676,7.20E-05,0.112081576
4,Big Hole,Trapper Creek,58.47,0.058466,48.45,279.4,0.279403,12.94,16.48,0.016478,0.001206629,0.005766356,0.000340075,0.267078053
5,Big Hole,Camp Creek,21.84,0.021844,33.29,104.27,0.104266,12,8.66,0.008664,0.000656252,0.003132428,0.00026029,0.360451842
7,Big Hole,Moose Creek,18.32,0.01832,25.07,98.61,0.098608,8.84,34.23,0.034233,0.0007309,0.003934091,0.001365769,0.352483543
8,Big Hole,Jerry Creek,22.38,0.022381,34.18,82.51,0.082509,5.74,2.17,0.002174,0.000654836,0.002414097,6.36E-05,0.167885774
9,Big Hole,Wise River (lower),37.55,0.037545,9.72,39.55,0.039549,3.59,2.95,0.002947,0.003864245,0.004070502,0.000303314,0.369596542
10,Big Hole,Wise River (upper),20.89,0.02089,7.18,42.52,0.042521,1.9,2.78,0.002784,0.002911498,0.005926272,0.000388014,0.264250871
11,Big Hole,Pettengill Creek,39.26,0.039261,4.2,31.57,0.031569,1.15,4.7,0.004704,0.009347857,0.007516429,0.00112,0.273571429
12,Big Hole,Alder Creek,29.9,0.029895,14.57,66.58,0.066583,3.84,3.87,0.003866,0.00205196,0.004570183,0.000265358,0.263367424
13,Big Hole,Johnson Creek,37.72,0.037719,13.71,54.17,0.054174,2.61,32.21,0.032211,0.002751806,0.003952287,0.002349967,0.190632524
14,Big Hole,Deep Creek,14.85,0.01485,9.55,47.83,0.047827,2.54,14.19,0.014193,0.0015553,0.005009112,0.001486489,0.265919564
15,Big Hole,French Creek,44.98,0.044979,17.49,54.74,0.054739,4.25,15.91,0.015907,0.002571257,0.003129195,0.000909335,0.243125822
16,Big Hole,Seymour Creek,17.19,0.017194,8.9,41.61,0.041613,1.46,4.42,0.004416,0.001931042,0.004673518,0.000495957,0.16385894
17,Big Hole,LaMarche Creek,9.95,0.009953,6.99,49.6,0.049598,1.33,4.4,0.004402,0.001423484,0.007093535,0.000629577,0.190503432
18,Big Hole,Fishtrap Creek,13.89,0.013887,9.8,56.17,0.056171,1.79,7.55,0.007551,0.001416463,0.005729396,0.000770196,0.182374541
19,Big Hole,Squaw/Christiansen Creek,21.68,0.02168,11.7,85.49,0.085485,2.7,21.67,0.021667,0.001852675,0.007305162,0.001851564,0.230558879
20,Big Hole,Pintler Creek,16.82,0.016823,10.23,93.27,0.093274,2.02,7.63,0.007633,0.001644959,0.009120368,0.000746358,0.197223037
21,Big Hole,Doolittle Creek,16.33,0.016328,6.16,53.91,0.053911,1.08,3.04,0.003038,0.002650649,0.008751786,0.000493182,0.175974026
22,Big Hole,Thompson/Plimpton Creek,19.23,0.01923,7.59,88.46,0.08846,1.66,13.56,0.013557,0.002535267,0.011662492,0.001787343,0.218457482
23,Big Hole,North Fork Big Hole,24.17,0.024173,7.46,79.14,0.079143,1.43,18.55,0.018549,0.003242522,0.010616097,0.002488129,0.192354125
24,Big Hole,Swamp Creek,73.59,0.073592,18.56,154.93,0.154934,4.76,103.9,0.103897,0.003964873,0.008347287,0.005597597,0.256397823
25,Big Hole,Francis Creek,24.29,0.024287,9.42,76.6,0.0766,2.08,20.99,0.020991,0.002579607,0.008135953,0.002229527,0.221136484
27,Big Hole,Miner Creek,31.53,0.031527,3.33,22.88,0.02288,1.12,2.82,0.00282,0.009464725,0.006868808,0.000846593,0.337135995
28,Big Hole,Warm Spring Creek,68.31,0.068309,4.68,39.5,0.0395,1.36,14.29,0.014285,0.01459906,0.008441975,0.003053003,0.290874118
29,Big Hole,Governor Creek,49.27,0.04927,9.56,74.06,0.074062,2.36,13.93,0.013925,0.005154844,0.007748692,0.001456895,0.24691358
30,Big Hole,Lower Deep Creek,28.48,0.028482,13.8,64.77,0.064772,3.42,8.89,0.008888,0.002064063,0.004693963,0.000644105,0.247481702
31,Big Hole,Pennington Bridge,49.03,0.049034,25.1,136.03,0.136027,6.05,17.5,0.017496,0.001953468,0.005419186,0.000697024,0.241026254
32,Big Hole,SalmonFly FAS,45.22,0.045219,21.3,107.96,0.107956,5.51,13.68,0.013677,0.002123257,0.005069071,0.000642203,0.258909706
33,Big Hole,Jerry Creek Ramp,50.34,0.050337,15.44,69.68,0.069682,5.25,13.76,0.013762,0.003259957,0.004512791,0.000891264,0.33987436
34,Big Hole,Dickie Bridge,33.35,0.03335,11.57,92.83,0.092834,2.72,28.38,0.028379,0.002883202,0.008025763,0.002453445,0.234892366
35,Big Hole,Downstream North Fork,25.97,0.025966,8.59,76.01,0.07601,2.06,25.16,0.025163,0.003022465,0.008847631,0.002928995,0.239203818
36,Big Hole,Wisdom,47.34,0.047336,9.13,68.79,0.06879,2.63,56.88,0.056877,0.005184098,0.007533676,0.006229,0.288029789
37,Big Hole,Dowstream Jackson,52.16,0.052164,7.77,61.16,0.061164,2.22,21.88,0.021876,0.006710059,0.007867764,0.002813995,0.285824543
38,Big Hole,Skinner Meadow,40.52,0.040522,4.99,30.44,0.030439,1.67,5,0.005001,0.008114137,0.006095114,0.001001402,0.334801762
39,Ruby,Tash Spring,98.05,0.098046,81.25,375.18,0.375179,27.52,31.05,0.031051,0.001206735,0.004617645,0.000382171,0.338724169
40,Ruby,Stinking Water Slough,51.33,0.051327,68.49,636.95,0.636949,27.82,29.94,0.029942,0.000749365,0.00929934,0.000437148,0.406123164
41,Ruby,Lower Wisconsin Creek,69.16,0.069163,66.45,395.49,0.39549,25.4,15.03,0.015032,0.001040906,0.005952141,0.000226232,0.382301151
42,Ruby,Leonard Slough,77.72,0.077721,71.05,336.25,0.336245,22.44,11.91,0.011911,0.001093969,0.004732845,0.000167654,0.31578577
43,Ruby,Lower Mill Creek,62.91,0.062913,60.88,345.26,0.345258,22.81,24.21,0.024213,0.00103336,0.005670937,0.000397704,0.374692027
44,Ruby,Silver Spring,31.07,0.031065,77.74,676.65,0.67665,30.24,9.61,0.009607,0.000399617,0.008704349,0.000123583,0.389003949
45,Ruby,Clear Creek,64.57,0.064568,68.84,604.52,0.604522,23.4,28.03,0.02803,0.000938011,0.008782189,0.000407206,0.339928815
46,Ruby,Lower California Creek,71.01,0.071009,46.17,260.69,0.260687,15.81,13.2,0.013195,0.00153799,0.005646242,0.000285792,0.342495127
47,Ruby,Lower Alder Creek,79.08,0.079078,63.72,372.84,0.372836,23.06,15.64,0.015636,0.001241004,0.00585107,0.000245382,0.361890115
48,Ruby,Upper Wisconsin Creek,38.6,0.038602,34.5,191.39,0.191387,10.7,2.58,0.002576,0.001118866,0.005547288,7.47E-05,0.310019999
49,Ruby,Upper Indian Creek,12.53,0.012527,16.35,44.03,0.044029,4.2,5.43,0.005429,0.000766318,0.002693399,0.00033211,0.257111397
50,Ruby,Upper Mill Creek,27.81,0.027805,29.62,105.13,0.105126,10.58,5.32,0.005317,0.000938692,0.003549036,0.000179501,0.357043989
51,Ruby,Ramshorn Creek,32.39,0.032386,19.3,71.59,0.071594,7.04,9.29,0.009292,0.001677944,0.003709341,0.000481426,0.364488887
52,Ruby,Upper California Creek,67.96,0.067962,42.32,198.35,0.198346,14.84,17.32,0.01732,0.001606059,0.004687258,0.000409301,0.350718404
53,Ruby,Upper Alder Creek,60.28,0.060275,72.79,438.54,0.438544,24.49,28.99,0.028993,0.000828056,0.006024701,0.000398305,0.336442692
54,Ruby,Dam,67.77,0.067773,69.34,626.48,0.626482,22.67,37.84,0.037843,0.000977429,0.00903519,0.000545776,0.326949148
55,Ruby,Laurin,65.09,0.065092,72.8,649.82,0.649818,24.3,18.02,0.018024,0.00089417,0.008926562,0.000247596,0.333795813
56,Ruby,Silver Spring Bridge,64.36,0.064362,70.43,588.48,0.588479,25.69,18.12,0.018116,0.000913895,0.008355991,0.000257235,0.364737455
57,Ruby,Seyler Lane,67.98,0.067982,71.58,559,0.559003,26,16.45,0.016451,0.000949748,0.007809595,0.00022983,0.363165174
58,Beaverhead,Grasshopper Creek,56.44,0.056438,25.91,133.74,0.133743,6.14,21.16,0.021157,0.002178569,0.005162626,0.000816683,0.237087933
59,Beaverhead,Lower Blacktail Creek,66.2,0.066199,66.25,536.2,0.536204,22.79,10.35,0.010348,0.00099926,0.00809389,0.000156201,0.344010385
60,Beaverhead,Upper Blacktail Creek,75.01,0.075014,66.68,409.81,0.409811,19.15,5.23,0.005232,0.001125019,0.00614612,7.85E-05,0.287156183
61,Beaverhead,McCoy Spring Creek,55.07,0.055065,100.81,831.65,0.831649,26.67,7.56,0.007561,0.000546236,0.008249831,7.50E-05,0.264542497
62,Beaverhead,Circle 3 Spring,57.34,0.057342,82.25,669.99,0.669986,27.93,7.33,0.007329,0.000697167,0.008145726,8.91E-05,0.3396231
63,Beaverhead,Lower Stone Creek,48.62,0.048623,97.76,801.6,0.801595,40.97,11,0.011,0.000497386,0.008199873,0.000112524,0.419079964
64,Beaverhead,Larsen Spring Creek,61.33,0.061331,81.82,727.23,0.727227,34.67,14.54,0.014544,0.000749612,0.008888458,0.000177763,0.423762788
65,Beaverhead,Spring Creek,94.06,0.094058,97.29,526.97,0.526967,61.75,9.79,0.00979,0.00096678,0.005416456,0.000100627,0.634731216
66,Beaverhead,Dartizumer Spring,61.79,0.061789,73.87,675.41,0.675409,30.97,19.85,0.019846,0.000836513,0.00914383,0.000268679,0.419291952
67,Beaverhead,Ousley Spring,59.7,0.059703,34.34,195,0.195,8.51,100.71,0.100708,0.001738635,0.005678674,0.002932759,0.247677568
68,Beaverhead,Silver Bow,62.57,0.062571,74.49,707.25,0.707247,28.95,32.76,0.03276,0.000840003,0.00949465,0.000439796,0.388661413
69,Beaverhead,Andersen,64.16,0.064155,65.15,609.2,0.609202,22.7,8.3,0.008304,0.000984743,0.009350903,0.000127462,0.348355309
70,Beaverhead,Barretts,57.81,0.057807,48.96,547.84,0.547843,20.66,15.73,0.015733,0.001180674,0.011189375,0.000321337,0.421866383
71,Beaverhead,Dam,70.4,0.0704,59.12,592.39,0.592394,22.22,16.25,0.016248,0.001190798,0.010020196,0.000274831,0.375828823
72,Beaverhead,Twin Bridges,63.42,0.063421,69.87,596.46,0.596459,26.62,26.32,0.026317,0.000907765,0.008537308,0.000376684,0.380991913
,Jefferson,,58.05,0.05805,48.29,368.62,0.36862,16.61,19.98,0.019981,0.001202237,0.007634255,0.000413814,0.344082013